zone_id,node_id,old_poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,boundary_geometry,geometry,x_coord,y_coord
21,21,5655,949565953.0,,,,park,,"POLYGON ((-111.9149174 33.3727366, -111.9147887 33.3728298, -111.9146771 33.3729588, -111.914274 33.3728913, -111.9145127 33.3724363, -111.914819 33.3724383, -111.9148351 33.3726887, -111.9149174 33.3727366))",POINT (-111.91460370120828 33.372699856845045),-111.91460370120828,33.372699856845045
22,22,5656,949567911.0,,,,park,,"POLYGON ((-111.9031035 33.362963, -111.9036194 33.3629796, -111.9036206 33.3628326, -111.9035833 33.3628266, -111.9035833 33.3627915, -111.9036229 33.3627889, -111.9036148 33.3626082, -111.9031 33.3626031, -111.9031035 33.362963))",POINT (-111.90336011467058 33.362788351338175),-111.90336011467058,33.362788351338175
23,23,5657,949570844.0,,,,park,,"POLYGON ((-111.90032 33.3744635, -111.9004965 33.3742432, -111.9002926 33.3741187, -111.9002645 33.374088, -111.900255 33.3740678, -111.8997708 33.3741019, -111.8998043 33.3742276, -111.900096 33.37413, -111.9001598 33.3742758, -111.90032 33.3744635))",POINT (-111.90018894545575 33.374214904417684),-111.90018894545575,33.374214904417684
24,24,5658,949573741.0,,,,park,,"POLYGON ((-111.9582337 33.380586, -111.9584941 33.3805794, -111.9584427 33.3807238, -111.9589741 33.3809191, -111.958934 33.3810505, -111.9582066 33.3808329, -111.9582337 33.380586))",POINT (-111.95853382223522 33.38081838499645),-111.95853382223522,33.38081838499645
25,25,5659,951556109.0,,,,park,,"POLYGON ((-111.9556241 33.3215325, -111.955245 33.3214628, -111.9543214 33.324248, -111.954321 33.324874, -111.9545615 33.3246276, -111.9552617 33.322554, -111.9556241 33.3215325))",POINT (-111.95491064620869 33.323051995726175),-111.95491064620869,33.323051995726175
26,26,5660,951556121.0,,,,park,,"POLYGON ((-111.9636326 33.3273559, -111.9635136 33.32728, -111.9634779 33.3272149, -111.9633742 33.32721, -111.9633413 33.3273379, -111.9633524 33.3275285, -111.9633946 33.327562, -111.9635347 33.3275757, -111.9635428 33.3275177, -111.9635752 33.327496, -111.9636408 33.3274932, -111.9636326 33.3273559))",POINT (-111.96347266059935 33.32740085752404),-111.96347266059935,33.32740085752404
27,27,5661,951563817.0,,,,park,,"POLYGON ((-111.9177567 33.4445002, -111.9176545 33.4444997, -111.9176369 33.444469, -111.9175934 33.4444559, -111.9175795 33.4444424, -111.9175121 33.4443635, -111.9175208 33.4441775, -111.9177594 33.4441799, -111.9177567 33.4445002))",POINT (-111.91764616352665 33.44432444629123),-111.91764616352665,33.44432444629123
28,28,5662,951567572.0,,,,park,,"POLYGON ((-111.9758834 33.3917859, -111.9751527 33.3917928, -111.9751458 33.3917433, -111.9747011 33.3917441, -111.9746956 33.3918052, -111.9741721 33.3918023, -111.9741326 33.3917992, -111.9740987 33.3917743, -111.9740974 33.3917456, -111.9740919 33.3916714, -111.9741798 33.3916694, -111.9741759 33.3915089, -111.9741969 33.3913184, -111.974128 33.3913032, -111.9741785 33.3910937, -111.9742595 33.3908758, -111.9743307 33.390722, -111.9743548 33.3907045, -111.9743981 33.3906959, -111.9744764 33.3907209, -111.9744475 33.3907803, -111.9748361 33.3909184, -111.9751181 33.3909829, -111.9754168 33.3909944, -111.9755948 33.3909948, -111.9755889 33.3909343, -111.9757744 33.3909088, -111.9759066 33.3908817, -111.9759149 33.3910323, -111.975837 33.3910352, -111.9757627 33.3910501, -111.9757222 33.391083, -111.9756879 33.3911251, -111.9755622 33.3910082, -111.9754299 33.3910056, -111.9754483 33.3910633, -111.9753057 33.3912019, -111.9753285 33.3912208, -111.9752915 33.3912569, -111.9753459 33.3912975, -111.9753301 33.3913129, -111.9753106 33.3913048, -111.9752333 33.3913732, -111.9752947 33.3914216, -111.9752966 33.391472, -111.9752512 33.391474, -111.9752393 33.3914944, -111.9752404 33.3915918, -111.9752715 33.3916189, -111.9755177 33.3916218, -111.9755201 33.3916508, -111.9756673 33.391646, -111.9758621 33.3916399, -111.9758592 33.3916638, -111.9759355 33.3916688, -111.9759352 33.391751, -111.9759224 33.3917727, -111.9759086 33.3917813, -111.9758834 33.3917859))",POINT (-111.97482656807883 33.39134129680283),-111.97482656807883,33.39134129680283
29,29,5663,951575824.0,,,,park,,"POLYGON ((-111.9565722 33.3402537, -111.9564847 33.3402712, -111.9564549 33.3402575, -111.9564585 33.340208, -111.9564702 33.3401666, -111.9564786 33.3401359, -111.9564456 33.3401091, -111.9563867 33.3401226, -111.9560698 33.3401199, -111.9560436 33.3401058, -111.9560364 33.3400936, -111.9561368 33.340049, -111.9562668 33.3399646, -111.9563111 33.3399258, -111.9563604 33.3399251, -111.9563905 33.3399637, -111.9564008 33.3399918, -111.9564255 33.3400038, -111.9564472 33.3399981, -111.9565 33.3400601, -111.9565492 33.3401302, -111.9565685 33.3401921, -111.9565722 33.3402537))",POINT (-111.95634789130999 33.34008160987167),-111.95634789130999,33.34008160987167
30,30,5664,951575836.0,,,,park,,"POLYGON ((-111.9630024 33.3544722, -111.962871 33.3544678, -111.962872 33.3540312, -111.9629554 33.3539072, -111.963032 33.3539118, -111.9630024 33.3544722))",POINT (-111.96294771670394 33.35419559011148),-111.96294771670394,33.35419559011148
31,31,5665,951576673.0,,,,park,,"POLYGON ((-111.9416038 33.3245683, -111.941481 33.3244293, -111.941173 33.3243772, -111.9411069 33.324543, -111.9411012 33.3245872, -111.9412807 33.3246188, -111.9414961 33.3246283, -111.9416038 33.3245683))",POINT (-111.9413342545778 33.32451620870026),-111.9413342545778,33.32451620870026
32,32,5666,951576678.0,,,,park,,"POLYGON ((-111.9411757 33.3273049, -111.9406924 33.3273099, -111.9408486 33.327183, -111.9406762 33.3270279, -111.9407528 33.3269811, -111.9408047 33.3269786, -111.9410318 33.3271188, -111.9411757 33.3273049))",POINT (-111.94090813292537 33.32717398741979),-111.94090813292537,33.32717398741979
33,33,5667,951582374.0,,,,park,,"POLYGON ((-111.9488966 33.4237592, -111.9487278 33.4237582, -111.9487285 33.4238308, -111.9483719 33.4238263, -111.9483735 33.4236809, -111.9484995 33.423679, -111.9486201 33.4236755, -111.9486188 33.4235847, -111.9487669 33.4235836, -111.9487674 33.4236762, -111.9488984 33.4236805, -111.9488966 33.4237592))",POINT (-111.94862014335352 33.423726624250875),-111.94862014335352,33.423726624250875
34,34,5708,951753027.0,,,,park,,"POLYGON ((-111.8826798 33.4287772, -111.8826258 33.4287849, -111.8825738 33.4287522, -111.8825539 33.4287208, -111.8825659 33.4286871, -111.8825767 33.428649, -111.8825885 33.4286083, -111.8825854 33.4285547, -111.8825685 33.4285162, -111.8825311 33.4284989, -111.8825282 33.4284437, -111.8825583 33.4284063, -111.8825876 33.4283592, -111.8826061 33.428305, -111.8826051 33.4282326, -111.8825814 33.4281499, -111.8825624 33.4280864, -111.8825688 33.4280102, -111.8825819 33.4279716, -111.8826078 33.4279409, -111.8826449 33.4279281, -111.8826817 33.4279281, -111.8827063 33.4279441, -111.882734 33.4279949, -111.8827449 33.4280491, -111.8827371 33.4280878, -111.8827102 33.4281291, -111.8826961 33.4281702, -111.8826904 33.4282483, -111.8827222 33.4282894, -111.8827434 33.428325, -111.8827486 33.4283632, -111.8827327 33.4284667, -111.8827149 33.4285359, -111.8827054 33.428594, -111.8827146 33.4286424, -111.8827138 33.4287249, -111.8827062 33.4287585, -111.8826798 33.4287772))",POINT (-111.88264765802128 33.42835764540198),-111.88264765802128,33.42835764540198
35,35,5709,951753076.0,,,,park,,"POLYGON ((-111.8879017 33.4133269, -111.8877022 33.4133574, -111.8877027 33.4133997, -111.8876857 33.4134061, -111.8875593 33.4133893, -111.8874353 33.4133517, -111.8874542 33.4133161, -111.887496 33.4133307, -111.8875072 33.4133187, -111.8875433 33.4133442, -111.8875846 33.4133555, -111.8876187 33.4133551, -111.887653 33.4133401, -111.8877336 33.4132571, -111.8877965 33.4131931, -111.8878545 33.4132613, -111.8879017 33.4133269))",POINT (-111.88770659185636 33.413319424276075),-111.88770659185636,33.413319424276075
36,36,5710,951849866.0,,,,park,,"POLYGON ((-111.8928022 33.4036772, -111.8928026 33.4037911, -111.8921365 33.403791, -111.8921018 33.4037719, -111.8920938 33.4029564, -111.8930373 33.4029619, -111.893031 33.403098, -111.892757 33.403095, -111.892755 33.403246, -111.892751 33.403453, -111.892748 33.403677, -111.8928022 33.4036772))",POINT (-111.8924588833519 33.403354232275376),-111.8924588833519,33.403354232275376
37,37,5711,951851353.0,,,,park,,"POLYGON ((-111.9492911 33.3600533, -111.9492987 33.3610235, -111.9470492 33.3610324, -111.947055 33.3600495, -111.9492911 33.3600533))",POINT (-111.94817107273869 33.36054016439845),-111.94817107273869,33.36054016439845
38,38,5712,951851829.0,,,,park,,"POLYGON ((-111.943722 33.3364578, -111.943756 33.3371019, -111.9432757 33.3370367, -111.9433912 33.3367042, -111.9429589 33.3366476, -111.9430492 33.3363368, -111.943722 33.3364578))",POINT (-111.94342999996198 33.33669064696674),-111.94342999996198,33.33669064696674
39,39,6054,959034158.0,,,,park,,"POLYGON ((-111.9432167 33.3359001, -111.943212 33.3347629, -111.9431979 33.3347358, -111.9431666 33.3347214, -111.943119 33.3347141, -111.9425186 33.334715, -111.9423268 33.3356459, -111.9423874 33.3356793, -111.9425992 33.3357554, -111.9432167 33.3359001))",POINT (-111.94282718103575 33.335279457080354),-111.94282718103575,33.335279457080354
40,40,8168,1119490027.0,,,,park,,"POLYGON ((-111.8801954 33.387286, -111.8805805 33.3866388, -111.8806767 33.3865573, -111.8832961 33.3865593, -111.8833008 33.3877433, -111.8832612 33.3877647, -111.8832402 33.3877997, -111.883242 33.3883395, -111.8831574 33.3883395, -111.8831541 33.3882974, -111.8829257 33.3881102, -111.8826425 33.3881102, -111.8826448 33.3875037, -111.8823713 33.3872723, -111.8801954 33.387286))",POINT (-111.88209653480475 33.38710114847131),-111.88209653480475,33.38710114847131
