link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
388,281,74,1,153.35,1,90,99999,connector,0,"LINESTRING (-111.9161644 33.3991081, -111.91467215443382 33.399695558383804)",1,0,0,,0.15,4,1,0.1,55.0,55.0,0.1,,,,
389,75,2513,1,155.51,1,90,99999,connector,0,"LINESTRING (-111.93152944217377 33.44337559755076, -111.931077 33.4420258)",1,0,0,,0.15,4,1,0.1,55.0,55.0,0.1,,,,
390,2513,75,1,155.51,1,90,99999,connector,0,"LINESTRING (-111.931077 33.4420258, -111.93152944217377 33.44337559755076)",1,0,0,,0.15,4,1,0.1,55.0,55.0,0.1,,,,
391,76,1731,1,240.05,1,90,99999,connector,0,"LINESTRING (-111.93628941478312 33.4281847064141, -111.9345889 33.429813)",1,0,0,,0.15,4,1,0.15,55.0,55.0,0.16,,,,
392,1731,76,1,240.05,1,90,99999,connector,0,"LINESTRING (-111.9345889 33.429813, -111.93628941478312 33.4281847064141)",1,0,0,,0.15,4,1,0.15,55.0,55.0,0.16,,,,
393,77,2235,1,640.82,1,90,99999,connector,0,"LINESTRING (-111.94724524186549 33.3652383404875, -111.9538768 33.3636835)",1,0,0,,0.15,4,1,0.4,55.0,55.0,0.43,,,,
394,2235,77,1,640.82,1,90,99999,connector,0,"LINESTRING (-111.9538768 33.3636835, -111.94724524186549 33.3652383404875)",1,0,0,,0.15,4,1,0.4,55.0,55.0,0.43,,,,
395,78,1311,1,106.03,1,90,99999,connector,0,"LINESTRING (-111.92720252354835 33.41939324231742, -111.9263055 33.4199832)",1,0,0,,0.15,4,1,0.07,55.0,55.0,0.07,,,,
396,1311,78,1,106.03,1,90,99999,connector,0,"LINESTRING (-111.9263055 33.4199832, -111.92720252354835 33.41939324231742)",1,0,0,,0.15,4,1,0.07,55.0,55.0,0.07,,,,
397,79,3162,1,302.07,1,90,99999,connector,0,"LINESTRING (-111.93544118233244 33.4192645706886, -111.934969 33.4219591)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.2,,,,
398,3162,79,1,302.07,1,90,99999,connector,0,"LINESTRING (-111.934969 33.4219591, -111.93544118233244 33.4192645706886)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.2,,,,
399,80,1184,1,269.99,1,90,99999,connector,0,"LINESTRING (-111.94233987301538 33.38344961012872, -111.939446 33.3832713)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
400,1184,80,1,269.99,1,90,99999,connector,0,"LINESTRING (-111.939446 33.3832713, -111.94233987301538 33.38344961012872)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
401,81,1182,1,265.18,1,90,99999,connector,0,"LINESTRING (-111.9423064904842 33.38390711259068, -111.939457 33.3838653)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.18,,,,
402,1182,81,1,265.18,1,90,99999,connector,0,"LINESTRING (-111.939457 33.3838653, -111.9423064904842 33.38390711259068)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.18,,,,
403,82,1182,1,303.34,1,90,99999,connector,0,"LINESTRING (-111.94266337884459 33.384359606294026, -111.939457 33.3838653)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.2,,,,
404,1182,82,1,303.34,1,90,99999,connector,0,"LINESTRING (-111.939457 33.3838653, -111.94266337884459 33.384359606294026)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.2,,,,
405,83,724,1,287.96,1,90,99999,connector,0,"LINESTRING (-111.94451510334953 33.38076858546558, -111.944995 33.3782037)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
406,724,83,1,287.96,1,90,99999,connector,0,"LINESTRING (-111.944995 33.3782037, -111.94451510334953 33.38076858546558)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
